Scala;Provv;Sconto €/U;;;;
E;20,7%;0,43;;;;
E;20,6%;0,44;;;;
E;20,4%;0,45;;;;
E;20,2%;0,46;;;;
E;20,0%;0,47;;;;
E;19,8%;0,48;;;;
E;19,6%;0,49;;;;
E;19,4%;0,50;;;;
E;19,2%;0,51;;;;
E;19,0%;0,52;;;;
E;18,8%;0,53;;;;
E;18,6%;0,54;;;;
E;18,4%;0,55;;;;
E;18,2%;0,56;;;;
E;18,0%;0,57;;;;
E;17,8%;0,58;;;;
E;17,6%;0,59;;;;
E;17,4%;0,60;;;;
E;17,2%;0,61;;;;
E;17,0%;0,62;;;;
E;16,8%;0,63;;;;
E;16,6%;0,64;;;;
E;16,4%;0,65;;;;
E;16,2%;0,66;;;;
E;16,0%;0,67;;;;
E;15,8%;0,68;;;;
E;15,6%;0,69;;;;
E;15,4%;0,70;;;;
E;15,2%;0,71;;;;
E;15,0%;0,72;;;;
E;14,8%;0,73;;;;
E;14,6%;0,74;;;;
E;14,4%;0,75;;;;
E;14,2%;0,76;;;;
E;14,0%;0,77;;;;
E;13,8%;0,78;;;;
E;13,6%;0,79;;;;
E;13,4%;0,80;;;;
E;13,2%;0,81;;;;
E;13,0%;0,82;;;;
E;12,8%;0,83;;;;
E;12,6%;0,84;;;;
E;12,4%;0,85;;;;
E;12,2%;0,86;;;;
E;12,0%;0,87;;;;
E;11,8%;0,88;;;;
E;11,6%;0,89;;;;
E;11,4%;0,90;;;;
E;11,2%;0,91;;;;
E;11,0%;0,92;;;;
E;10,8%;0,93;;;;
E;10,6%;0,94;;;;
E;10,4%;0,95;;;;
E;10,2%;0,96;;;;
E;10,0%;0,97;;;;
E;9,8%;0,98;;;;
E;9,6%;0,99;;;;
E;9,4%;1,00;;;;
E;9,2%;1,01;;;;
E;9,0%;1,02;;;;
E;8,8%;1,03;;;;
E;8,6%;1,04;;;;
E;8,4%;1,05;;;;
E;8,2%;1,06;;;;
E;8,0%;1,07;;;;
E;7,8%;1,08;;;;
E;7,6%;1,09;;;;
E;7,4%;1,10;;;;
E;7,2%;1,11;;;;
E;7,0%;1,12;;;;
E;6,8%;1,13;;;;
E;6,6%;1,14;;;;
E;6,4%;1,15;;;;
E;6,2%;1,16;;;;
E;6,0%;1,17;;;;
E;6,0%;1,18;;;;
E;5,9%;1,19;;;;
E;5,9%;1,20;;;;
E;5,8%;1,21;;;;
E;5,8%;1,22;;;;
E;5,7%;1,23;;;;
E;5,7%;1,24;;;;
E;5,6%;1,25;;;;
E;5,6%;1,26;;;;
E;5,5%;1,27;;;;
E;5,5%;1,28;;;;
E;5,4%;1,29;;;;
E;5,4%;1,30;;;;
E;5,3%;1,31;;;;
E;5,3%;1,32;;;;
E;5,2%;1,33;;;;
E;5,2%;1,34;;;;
E;5,1%;1,35;;;;
E;5,1%;1,36;;;;
E;5,1%;1,37;;;;
E;5,1%;1,38;;;;
E;5,1%;1,39;;;;
E;5,1%;1,40;;;;
E;5,0%;1,41;;;;
E;5,0%;1,42;;;;
E;5,0%;1,43;;;;
E;5,0%;1,44;;;;
E;5,0%;1,45;;;;
E;4,9%;1,46;;;;
E;4,8%;1,47;;;;
E;4,7%;1,48;;;;
E;4,6%;1,49;;;;
E;4,5%;1,50;;;;
E;4,4%;1,51;;;;
E;4,3%;1,52;;;;
E;4,2%;1,53;;;;
E;4,1%;1,54;;;;
E;4,0%;1,55;;;;
E;3,9%;1,56;;;;
E;3,9%;1,57;;;;
E;3,9%;1,58;;;;
E;3,8%;1,59;;;;
E;3,8%;1,60;;;;
E;3,8%;1,61;;;;
E;3,7%;1,62;;;;
E;3,7%;1,63;;;;
E;3,7%;1,64;;;;
E;3,6%;1,65;;;;
E;3,5%;1,66;;;;
E;3,4%;1,67;;;;
E;3,3%;1,68;;;;
E;3,2%;1,69;;;;
E;3,1%;1,70;;;;
E;3,0%;1,85;;;;
E;2,9%;1,86;;;;
E;2,8%;1,87;;;;
E;2,7%;1,88;;;;
E;2,6%;1,89;;;;
E;2,5%;1,90;;;;
E;2,0%;1,99;;;;
D;27,0%;0,00;;;;
D;25,0%;0,50;;;;
D;23,0%;1,00;;;;
D;21,0%;1,50;;;;
D;19,0%;2,00;;;;
D;17,0%;2,50;;;;
D;15,0%;3,00;;;;
D;13,0%;3,50;;;;
D;11,0%;4,00;;;;
D;10,0%;4,50;;;;
D;9,0%;5,00;;;;
D;8,0%;5,50;;;;
D;6,0%;6,00;;;;
